Time,IsBeat?,BPM,EDR,Time after start,Relative BPM,Relative EDR
385794,beat,254,155,63219,0.174311927,0.051094891
385895,beat,254,156,63320,0.174311927,0.054744526
386202,beat,254,155,63627,0.174311927,0.051094891
386399,beat,254,156,63824,0.174311927,0.054744526
386601,beat,254,154,64026,0.174311927,0.047445255
386735,beat,324,155,64160,0.495412844,0.051094891
386900,beat,324,154,64325,0.495412844,0.047445255
387134,beat,324,153,64559,0.495412844,0.04379562
387251,beat,324,151,64676,0.495412844,0.03649635
387342,beat,324,151,64767,0.495412844,0.03649635
387526,beat,324,149,64951,0.495412844,0.02919708
387530,beat,324,150,64955,0.495412844,0.032846715
387659,beat,324,148,65084,0.495412844,0.025547445
387843,beat,324,148,65268,0.495412844,0.025547445
388061,beat,324,148,65486,0.495412844,0.025547445
388294,beat,324,148,65719,0.495412844,0.025547445
388786,beat,324,149,66211,0.495412844,0.02919708
388982,beat,324,150,66407,0.495412844,0.032846715
389118,beat,324,151,66543,0.495412844,0.03649635
389286,beat,324,152,66711,0.495412844,0.040145985
389512,beat,324,155,66937,0.495412844,0.051094891
389736,beat,324,160,67161,0.495412844,0.069343066
389784,beat,324,160,67209,0.495412844,0.069343066
389921,beat,324,161,67346,0.495412844,0.072992701
390050,beat,324,161,67475,0.495412844,0.072992701
390054,beat,324,162,67479,0.495412844,0.076642336
390232,beat,360,162,67657,0.660550459,0.076642336
390441,beat,360,164,67866,0.660550459,0.083941606
390727,beat,360,165,68152,0.660550459,0.087591241
390957,beat,360,166,68382,0.660550459,0.091240876
391174,beat,360,166,68599,0.660550459,0.091240876
391492,beat,360,167,68917,0.660550459,0.094890511
391494,beat,360,167,68919,0.660550459,0.094890511
391673,beat,360,167,69098,0.660550459,0.094890511
391877,beat,360,167,69302,0.660550459,0.094890511
392174,beat,360,168,69599,0.660550459,0.098540146
392398,beat,360,168,69823,0.660550459,0.098540146
392608,beat,360,169,70033,0.660550459,0.102189781
392925,beat,360,173,70350,0.660550459,0.116788321
392928,beat,360,173,70353,0.660550459,0.116788321
393099,beat,360,191,70524,0.660550459,0.182481752
393432,beat,360,169,70857,0.660550459,0.102189781
393601,beat,360,168,71026,0.660550459,0.098540146
393823,beat,360,169,71248,0.660550459,0.102189781
394043,beat,360,168,71468,0.660550459,0.098540146
394541,beat,360,193,71966,0.660550459,0.189781022
394749,beat,360,170,72174,0.660550459,0.105839416
395039,beat,260,262,72464,0.201834862,0.441605839
395268,beat,260,166,72693,0.201834862,0.091240876
395470,beat,260,165,72895,0.201834862,0.087591241
